# This is a continuation of trace file /D216/EDT/projects/Услуги/.metadata/trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2023-03-04 10:30:22.096
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.102 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.settings.impl.DataCompositionSelectedFieldImpl@397d5ebe |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.102 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.102 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.settings.impl.DataCompositionDataParameterValuesImpl@586e1740 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.103 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.103 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.mcore.impl.StandardBeginningDateImpl@803235c3 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.103 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.103 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.settings.impl.DataCompositionGroupFieldsImpl@709797c4 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.103 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.103 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.mcore.impl.EnumValueImpl@edce5845 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.103 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.104 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.mcore.impl.StandardBeginningDateValueImpl@f1db6847 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.104 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.104 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.settings.impl.DataCompositionOutputParameterValuesImpl@3b51ffc8 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.104 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.104 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.schema.impl.DataCompositionSchemaDataSetFieldImpl@164475d0 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.104 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.104 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.common.impl.DataCompositionDataSetFieldRoleImpl@58379353 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.105 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
